stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,0
12hpf,9.64,3.86,0,0,1.93,0,0,0,0,1.93
14hpf,3.34,0,0,3.34,0,3.34,0,0,6.69,0
16hpf,32.81,0,2.05,4.1,12.3,8.2,6.15,0,10.25,6.15
19hpf,6.57,0,0,0,0,0,0,0,0,0
24hpf,19,0,0,0,7,1,1,1,2,3
2dpf,65.06,0.83,11.68,9.17,31.69,42.54,10.01,0.83,16.68,20.02
3dpf,111.48,4.02,2.3,2.3,2.3,48.27,2.3,0,2.87,4.02
5dpf,24.81,3.1,12.92,9.3,9.82,61.5,5.17,2.07,10.85,31.01
10dpf,41.42,1.88,6.9,4.39,3.14,28.24,2.51,0,3.14,3.14
